z,charge,chargesum
0.000000000000000000e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
7.039139980729185175e-02,-0.000000000000000000e+00,-1.398444999884620348e-04
1.407827996145837035e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
2.111741994218755691e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
2.815655992291674070e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
3.519569990364592726e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
4.223483988437511383e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
4.927397986510430039e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
5.631311984583348140e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
6.335225982656267352e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
7.039139980729185453e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
7.743053978802103554e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
8.446967976875022766e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
9.150881974947941977e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
9.854795973020860078e-01,-0.000000000000000000e+00,-1.398444999884620348e-04
1.055870997109377818e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.126262396916669628e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.196653796723961660e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.267045196531253470e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.337436596338545280e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.407827996145837091e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.478219395953129123e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.548610795760420711e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.619002195567712521e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.689393595375004553e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.759784995182296363e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.830176394989588395e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.900567794796879983e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
1.970959194604172016e+00,-0.000000000000000000e+00,-1.398444999884620348e-04
