z,charge,chargesum
0.000000000000000000e+00,1.097057207320237932e-04,1.934107562442258146e-03
7.216572326611306321e-02,1.219930846361899385e-04,1.942911281628492953e-03
1.443314465322261264e-01,1.136424546573718035e-04,1.951112371562578520e-03
2.164971697983392174e-01,8.426683181806387407e-05,1.957193548428073221e-03
2.886628930644522528e-01,3.821980824630385023e-05,1.959951708533259548e-03
3.608286163305653993e-01,-1.743778751237836682e-05,1.958693297985268037e-03
4.329943395966784347e-01,-7.363460574952683936e-05,1.953379403403938605e-03
5.051600628627914702e-01,-1.137051004827656185e-04,1.945173792588553510e-03
5.773257861289045056e-01,-1.317260210988840930e-04,1.935667689002985381e-03
6.494915093950176521e-01,-1.182893697622760740e-04,1.927131251079398054e-03
7.216572326611307986e-01,-8.068431026996750308e-05,1.921308609472538237e-03
7.938229559272437230e-01,-3.932635600346230789e-05,1.918470594548127772e-03
8.659886791933568695e-01,-1.304438308402227701e-05,1.917529237208309050e-03
9.381544024594699049e-01,-6.721253043305002532e-06,1.917044193121184535e-03
1.010320125725582940e+00,-4.502302778976520344e-06,1.916719281184776523e-03
1.082485848991695976e+00,3.442007547176485023e-05,1.919203230826070682e-03
1.154651572257809011e+00,1.606824438354578517e-04,1.930798995601623125e-03
1.226817295523922269e+00,3.931281396659065740e-04,1.959169372136874889e-03
1.298983018790035304e+00,7.007702543661398871e-04,2.009740964386585223e-03
1.371148742056148340e+00,9.971810264263458994e-04,2.081703254385887641e-03
1.443314465322261597e+00,1.188941654412181996e-03,2.167504088797751922e-03
1.515480188588374411e+00,1.215217772581536496e-03,2.255201158281933214e-03
1.587645911854487446e+00,1.048726245758582363e-03,2.330883246315256993e-03
1.659811635120600481e+00,7.442792437964926852e-04,2.384594696255786395e-03
1.731977358386713739e+00,3.610038873264270558e-04,2.410646802886576463e-03
1.804143081652826774e+00,-3.364139371679238913e-05,2.408219047377323924e-03
1.876308804918939810e+00,-3.963899965545347780e-04,2.379613276580513741e-03
1.948474528185053067e+00,-7.029974012804572321e-04,2.328880960662911819e-03
2.020640251451165881e+00,-9.411475557152652882e-04,2.260962366604585272e-03
2.092805974717279138e+00,-1.112944657022427609e-03,2.180645910475405725e-03
2.164971697983391952e+00,-1.222816652655493068e-03,2.092400462314674726e-03
