z,potential
0.000000000000000000e+00,1.000008916984652663e+00
7.216572326611306321e-02,1.000007920284494700e+00
1.443314465322261264e-01,1.000019349123804968e+00
2.164971697983392174e-01,1.000041440802471593e+00
2.886628930644522528e-01,1.000072627432618155e+00
3.608286163305653993e-01,1.000110936856485111e+00
4.329943395966784347e-01,1.000153395407495927e+00
5.051600628627914702e-01,1.000198263444519009e+00
5.773257861289045056e-01,1.000242521963906839e+00
6.494915093950176521e-01,1.000285062164604222e+00
7.216572326611307986e-01,1.000324778719136498e+00
7.938229559272437230e-01,1.000360512340450203e+00
8.659886791933568695e-01,1.000392627057617112e+00
9.381544024594699049e-01,1.000419286008236597e+00
1.010320125725582940e+00,1.000440132373107138e+00
1.082485848991695976e+00,1.000451865740745294e+00
1.154651572257809011e+00,1.000449616598074742e+00
1.226817295523922269e+00,1.000433986968450428e+00
1.298983018790035304e+00,1.000404704475308160e+00
1.371148742056148340e+00,1.000368193930037286e+00
1.443314465322261597e+00,1.000329456704381448e+00
1.515480188588374411e+00,1.000295316615226415e+00
1.587645911854487446e+00,1.000267798636820249e+00
1.659811635120600481e+00,1.000246026492020546e+00
1.731977358386713739e+00,1.000228524028446087e+00
1.804143081652826774e+00,1.000210172100473027e+00
1.876308804918939810e+00,1.000189722264234859e+00
1.948474528185053067e+00,1.000164411017228749e+00
2.020640251451165881e+00,1.000132147420265349e+00
2.092805974717279138e+00,1.000093217914105104e+00
2.164971697983391952e+00,1.000047304787715863e+00
2.237137421249505209e+00,9.999956544270346415e-01
2.309303144515618023e+00,9.999392848554472524e-01
2.381468867781731280e+00,9.998803145240736656e-01
2.453634591047844538e+00,9.998209980904733118e-01
2.525800314313957351e+00,9.997637441912676781e-01
2.597966037580070608e+00,9.997112817824059805e-01
2.670131760846183866e+00,9.996658807761035215e-01
2.742297484112296679e+00,9.996300916546699833e-01
2.814463207378409937e+00,9.996059370895971075e-01
2.886628930644523194e+00,9.995939614792521688e-01
2.958794653910635564e+00,9.995946918004149362e-01
3.030960377176748821e+00,9.996047309357876109e-01
3.103126100442861635e+00,9.996219594058713964e-01
3.175291823708974892e+00,9.996396191958144550e-01
3.247457546975088150e+00,9.996512869170137705e-01
3.319623270241200963e+00,9.996535588991865007e-01
3.391788993507314220e+00,9.996432582304611847e-01
