z,potential
0.000000000000000000e+00,-1.000008970013635645e+00
7.216572326611306321e-02,-9.999991283864894109e-01
1.443314465322261264e-01,-9.999917192859244519e-01
2.164971697983392174e-01,-9.999863304907279371e-01
2.886628930644522528e-01,-9.999831333462833038e-01
3.608286163305653993e-01,-9.999806048848177698e-01
4.329943395966784347e-01,-9.999786586165181346e-01
5.051600628627914702e-01,-9.999760897984002472e-01
5.773257861289045056e-01,-9.999731227958588153e-01
6.494915093950176521e-01,-9.999687457891048847e-01
7.216572326611307986e-01,-9.999632869941685875e-01
7.938229559272437230e-01,-9.999573921901606655e-01
8.659886791933568695e-01,-9.999517823791166382e-01
9.381544024594699049e-01,-9.999464628635111874e-01
1.010320125725582940e+00,-9.999419458432170504e-01
1.082485848991695976e+00,-9.999376507121046087e-01
1.154651572257809011e+00,-9.999350028558043890e-01
1.226817295523922269e+00,-9.999350855691666595e-01
1.298983018790035304e+00,-9.999417019204467350e-01
1.371148742056148340e+00,-9.999580587164915713e-01
1.443314465322261597e+00,-9.999893101928232220e-01
1.515480188588374411e+00,-1.000036573870883849e+00
1.587645911854487446e+00,-1.000101500267747134e+00
1.659811635120600481e+00,-1.000181502432567537e+00
1.731977358386713739e+00,-1.000272377877404750e+00
1.804143081652826774e+00,-1.000369000910752648e+00
1.876308804918939810e+00,-1.000465604814435583e+00
1.948474528185053067e+00,-1.000557086478058411e+00
2.020640251451165881e+00,-1.000639870998541126e+00
2.092805974717279138e+00,-1.000710613195028076e+00
2.164971697983391952e+00,-1.000766333921378370e+00
2.237137421249505209e+00,-1.000806163175805397e+00
2.309303144515618023e+00,-1.000829066896423925e+00
2.381468867781731280e+00,-1.000835059317685349e+00
2.453634591047844538e+00,-1.000825005871206042e+00
2.525800314313957351e+00,-1.000800198093615423e+00
2.597966037580070608e+00,-1.000762428964327100e+00
2.670131760846183866e+00,-1.000713889903716680e+00
2.742297484112296679e+00,-1.000657502066522930e+00
2.814463207378409937e+00,-1.000596089892602292e+00
2.886628930644523194e+00,-1.000532911858964535e+00
2.958794653910635564e+00,-1.000470904681798556e+00
3.030960377176748821e+00,-1.000412347188525564e+00
3.103126100442861635e+00,-1.000360259878767755e+00
3.175291823708974892e+00,-1.000314934733706362e+00
3.247457546975088150e+00,-1.000278263799982748e+00
3.319623270241200963e+00,-1.000250513883746750e+00
3.391788993507314220e+00,-1.000231986752400326e+00
3.463954716773427478e+00,-1.000224175273487504e+00
3.536120440039540291e+00,-1.000230363666833711e+00
3.608286163305653549e+00,-1.000249850203492441e+00
3.680451886571766806e+00,-1.000282885679361522e+00
