z,potential
0.000000000000000000e+00,-1.000008945885804135e+00
7.216572326611306321e-02,-9.999997766432920931e-01
1.443314465322261264e-01,-9.999990056784526793e-01
2.164971697983392174e-01,-1.000005712750483555e+00
2.886628930644522528e-01,-1.000018961712653587e+00
3.608286163305653993e-01,-1.000036773916580080e+00
4.329943395966784347e-01,-1.000058846493104836e+00
5.051600628627914702e-01,-1.000082094541241418e+00
5.773257861289045056e-01,-1.000105922827341676e+00
6.494915093950176521e-01,-1.000128264326563876e+00
7.216572326611307986e-01,-1.000148329898240096e+00
7.938229559272437230e-01,-1.000166633118660497e+00
8.659886791933568695e-01,-1.000181069583322646e+00
9.381544024594699049e-01,-1.000194287559060147e+00
1.010320125725582940e+00,-1.000204331896241028e+00
1.082485848991695976e+00,-1.000211763714833557e+00
1.154651572257809011e+00,-1.000214659386556182e+00
1.226817295523922269e+00,-1.000213708896578124e+00
1.298983018790035304e+00,-1.000210069597131879e+00
1.371148742056148340e+00,-1.000205303028017800e+00
1.443314465322261597e+00,-1.000200654407646050e+00
1.515480188588374411e+00,-1.000199119375628776e+00
1.587645911854487446e+00,-1.000199512834106352e+00
1.659811635120600481e+00,-1.000201270414952104e+00
1.731977358386713739e+00,-1.000202420509607837e+00
1.804143081652826774e+00,-1.000201716202253399e+00
1.876308804918939810e+00,-1.000197863427823020e+00
1.948474528185053067e+00,-1.000189873591298184e+00
2.020640251451165881e+00,-1.000177880637717953e+00
2.092805974717279138e+00,-1.000162528602804635e+00
2.164971697983391952e+00,-1.000144203761487605e+00
2.237137421249505209e+00,-1.000124009552295856e+00
2.309303144515618023e+00,-1.000103446247047057e+00
2.381468867781731280e+00,-1.000083774745040621e+00
2.453634591047844538e+00,-1.000066253458918197e+00
2.525800314313957351e+00,-1.000052116061037832e+00
2.597966037580070608e+00,-1.000042466963734222e+00
2.670131760846183866e+00,-1.000038085440424718e+00
2.742297484112296679e+00,-1.000039572643067309e+00
2.814463207378409937e+00,-1.000047484866433578e+00
2.886628930644523194e+00,-1.000060956206697771e+00
2.958794653910635564e+00,-1.000079999528797670e+00
3.030960377176748821e+00,-1.000102335744218696e+00
3.103126100442861635e+00,-1.000127586775976685e+00
3.175291823708974892e+00,-1.000152024972900344e+00
3.247457546975088150e+00,-1.000173218888121385e+00
3.319623270241200963e+00,-1.000190058789276915e+00
3.391788993507314220e+00,-1.000201824772041448e+00
3.463954716773427478e+00,-1.000209423434751832e+00
3.536120440039540291e+00,-1.000216283939203699e+00
3.608286163305653549e+00,-1.000224686573224497e+00
3.680451886571766806e+00,-1.000237993559861094e+00
3.752617609837879620e+00,-1.000253241132979865e+00
3.824783333103992877e+00,-1.000268378448224915e+00
3.896949056370106135e+00,-1.000280301888814893e+00
3.969114779636218948e+00,-1.000286583947655794e+00
4.041280502902331762e+00,-1.000285316643783062e+00
4.113446226168444575e+00,-1.000278417974624467e+00
4.185611949434558277e+00,-1.000267559539628426e+00
4.257777672700671090e+00,-1.000255259541842578e+00
4.329943395966783903e+00,-1.000243904015713836e+00
4.402109119232897605e+00,-1.000234989725431012e+00
4.474274842499010418e+00,-1.000229779201724289e+00
4.546440565765124120e+00,-1.000229451858150931e+00
4.618606289031236045e+00,-1.000233854983452408e+00
4.690772012297348859e+00,-1.000243285850045627e+00
4.762937735563462560e+00,-1.000257332448727166e+00
4.835103458829575374e+00,-1.000275529416400300e+00
4.907269182095689075e+00,-1.000297445073466074e+00
4.979434905361801889e+00,-1.000322045506503832e+00
5.051600628627914702e+00,-1.000348384340788988e+00
5.123766351894027515e+00,-1.000375561705669547e+00
5.195932075160141217e+00,-1.000402439702581248e+00
5.268097798426254030e+00,-1.000428519953231454e+00
5.340263521692367732e+00,-1.000452786269600214e+00
5.412429244958479657e+00,-1.000475835567476768e+00
5.484594968224593359e+00,-1.000497708082811910e+00
5.556760691490706172e+00,-1.000518848579050601e+00
5.628926414756819874e+00,-1.000541892867199412e+00
5.701092138022932687e+00,-1.000567489758732886e+00
5.773257861289046389e+00,-1.000595609074661718e+00
5.845423584555158314e+00,-1.000626071310863452e+00
5.917589307821271127e+00,-1.000654516308300490e+00
5.989755031087384829e+00,-1.000678225267319643e+00
6.061920754353497642e+00,-1.000693376418047009e+00
6.134086477619611344e+00,-1.000699334568185828e+00
6.206252200885723269e+00,-1.000698478614556963e+00
6.278417924151836971e+00,-1.000696550408100238e+00
6.350583647417949784e+00,-1.000696006093436008e+00
6.422749370684063486e+00,-1.000701444610584634e+00
6.494915093950176299e+00,-1.000713703298862223e+00
6.567080817216290001e+00,-1.000732215931509739e+00
6.639246540482401926e+00,-1.000756252372015931e+00
6.711412263748515628e+00,-1.000784059047828967e+00
6.783577987014628441e+00,-1.000815474030886332e+00
6.855743710280742143e+00,-1.000848450865732708e+00
6.927909433546854956e+00,-1.000882816934300701e+00
7.000075156812967769e+00,-1.000917783451715559e+00
7.072240880079080583e+00,-1.000952385783894893e+00
7.144406603345193396e+00,-1.000985635419577413e+00
7.216572326611307098e+00,-1.001016472672487057e+00
7.288738049877419911e+00,-1.001043568170257858e+00
7.360903773143533613e+00,-1.001065519192971598e+00
7.433069496409645538e+00,-1.001080418008816642e+00
7.505235219675759240e+00,-1.001086796393938272e+00
7.577400942941872053e+00,-1.001082798348765124e+00
7.649566666207985755e+00,-1.001067342004196448e+00
7.721732389474098568e+00,-1.001040267034789322e+00
7.793898112740212270e+00,-1.001003420480405470e+00
7.866063836006324195e+00,-1.000957645600071277e+00
7.938229559272437896e+00,-1.000907495171949435e+00
