z,potential
0.000000000000000000e+00,-5.000046499343461237e-01
7.039140222563075588e-02,-5.000030251371894163e-01
1.407828044512615118e-01,-5.000016824866925225e-01
2.111742066768922399e-01,-5.000002788834025935e-01
2.815656089025230235e-01,-4.999988909559246464e-01
3.519570111281538072e-01,-4.999975762632035137e-01
4.223484133537844798e-01,-4.999964754036982373e-01
4.927398155794152634e-01,-4.999950635145778421e-01
5.631312178050460471e-01,-4.999938245377498758e-01
6.335226200306768307e-01,-4.999928407218809379e-01
7.039140222563076144e-01,-4.999917082818916558e-01
7.743054244819383980e-01,-4.999904254421442262e-01
8.446968267075689596e-01,-4.999892590372038148e-01
9.150882289331997432e-01,-4.999884498512345288e-01
9.854796311588305269e-01,-4.999873187071228187e-01
1.055871033384461422e+00,-4.999863758829433125e-01
1.126262435610092094e+00,-4.999854278892109649e-01
1.196653837835722767e+00,-4.999844604003602644e-01
1.267045240061353661e+00,-4.999835870234685120e-01
1.337436642286984334e+00,-4.999827666663675396e-01
1.407828044512615229e+00,-4.999820085627275090e-01
1.478219446738245901e+00,-4.999811925882590713e-01
1.548610848963876796e+00,-4.999804136787822095e-01
1.619002251189507469e+00,-4.999797043980865330e-01
1.689393653415137919e+00,-4.999789652561256736e-01
1.759785055640768814e+00,-4.999784487730934979e-01
1.830176457866399486e+00,-4.999778969638508652e-01
1.900567860092030381e+00,-4.999773186890870136e-01
1.970959262317661054e+00,-4.999765784263666690e-01
2.041350664543291948e+00,-4.999761510864672021e-01
2.111742066768922843e+00,-4.999758020567321437e-01
2.182133468994553294e+00,-4.999752489707267045e-01
2.252524871220184188e+00,-4.999753249823046808e-01
2.322916273445815083e+00,-4.999746997050343866e-01
2.393307675671445534e+00,-4.999741025548296580e-01
2.463699077897076428e+00,-4.999737864368618001e-01
2.534090480122707323e+00,-4.999735094449160311e-01
2.604481882348338218e+00,-4.999731594536417911e-01
2.674873284573968668e+00,-4.999729627742987015e-01
2.745264686799599563e+00,-4.999728712464318048e-01
2.815656089025230457e+00,-4.999724633830074927e-01
2.886047491250860908e+00,-4.999726409238232083e-01
2.956438893476491803e+00,-4.999721598993802640e-01
3.026830295702122697e+00,-4.999721723534921169e-01
3.097221697927753592e+00,-4.999724251113927265e-01
3.167613100153384043e+00,-4.999724771432844661e-01
3.238004502379014937e+00,-4.999723247726665099e-01
3.308395904604645832e+00,-4.999723162825163714e-01
3.378787306830275838e+00,-4.999725499836560894e-01
3.449178709055906733e+00,-4.999727876696968276e-01
3.519570111281537628e+00,-4.999729162999819732e-01
3.589961513507168522e+00,-4.999731315262705977e-01
3.660352915732798973e+00,-4.999733548835706420e-01
3.730744317958429868e+00,-4.999737381603522324e-01
3.801135720184060762e+00,-4.999739595104205625e-01
3.871527122409691213e+00,-4.999743144238211756e-01
3.941918524635322107e+00,-4.999749008144142026e-01
4.012309926860952558e+00,-4.999750555512114669e-01
4.082701329086583897e+00,-4.999756160321813248e-01
4.153092731312214347e+00,-4.999759861659293092e-01
4.223484133537845686e+00,-4.999765879127056611e-01
4.293875535763476137e+00,-4.999767852348689368e-01
4.364266937989106587e+00,-4.999773496793039063e-01
4.434658340214737926e+00,-4.999785201731348216e-01
4.505049742440368377e+00,-4.999785821007218245e-01
4.575441144665998827e+00,-4.999798678360323212e-01
4.645832546891630166e+00,-4.999802570394757950e-01
4.716223949117260617e+00,-4.999806030665745471e-01
4.786615351342891067e+00,-4.999816002743201482e-01
4.857006753568522406e+00,-4.999826294143132066e-01
4.927398155794152856e+00,-4.999835106052529787e-01
4.997789558019783307e+00,-4.999845408815806747e-01
5.068180960245414646e+00,-4.999857954389376191e-01
5.138572362471045096e+00,-4.999862193263829857e-01
5.208963764696676435e+00,-4.999873449228277034e-01
5.279355166922306886e+00,-4.999882961571383011e-01
5.349746569147937336e+00,-4.999888301011566893e-01
5.420137971373568675e+00,-4.999899869041468103e-01
5.490529373599199126e+00,-4.999911586556909926e-01
5.560920775824829576e+00,-4.999924928815181469e-01
5.631312178050460915e+00,-4.999935955246898600e-01
5.701703580276091365e+00,-4.999948079149487690e-01
5.772094982501721816e+00,-4.999960878838856093e-01
5.842486384727353155e+00,-4.999973065603522393e-01
5.912877786952983605e+00,-4.999986172589961919e-01
5.983269189178614056e+00,-4.999999325577089149e-01
6.053660591404245395e+00,-5.000012784934130261e-01
6.124051993629875845e+00,-5.000026692402383954e-01
6.194443395855507184e+00,-5.000041664731075253e-01
6.264834798081137635e+00,-5.000055767158860798e-01
6.335226200306768085e+00,-5.000071313312340893e-01
6.405617602532399424e+00,-5.000085907621761860e-01
6.476009004758029874e+00,-5.000099602554030076e-01
6.546400406983660325e+00,-5.000116056070100790e-01
6.616791809209291664e+00,-5.000133505253966382e-01
6.687183211434922114e+00,-5.000148960288308686e-01
6.757574613660551677e+00,-5.000168178858407364e-01
6.827966015886183015e+00,-5.000183820830291781e-01
6.898357418111813466e+00,-5.000204070215686913e-01
6.968748820337443917e+00,-5.000219051620824473e-01
7.039140222563075255e+00,-5.000239880937499271e-01
7.109531624788705706e+00,-5.000258811626808741e-01
7.179923027014337045e+00,-5.000277050652023325e-01
7.250314429239967495e+00,-5.000297233599421132e-01
7.320705831465597946e+00,-5.000311524785909789e-01
7.391097233691229285e+00,-5.000338699749811155e-01
7.461488635916859735e+00,-5.000351748241630423e-01
7.531880038142490186e+00,-5.000380472354235550e-01
7.602271440368121525e+00,-5.000397601548260962e-01
7.672662842593751975e+00,-5.000419996679426049e-01
7.743054244819382426e+00,-5.000441125382466545e-01
7.813445647045013764e+00,-5.000463935888054268e-01
7.883837049270644215e+00,-5.000486084189661451e-01
7.954228451496275554e+00,-5.000506008144605108e-01
8.024619853721905116e+00,-5.000528627455383957e-01
8.095011255947536455e+00,-5.000551656252738564e-01
8.165402658173167794e+00,-5.000576168394650356e-01
8.235794060398797356e+00,-5.000599914000650736e-01
8.306185462624428695e+00,-5.000623472469390984e-01
8.376576864850060034e+00,-5.000648545617387697e-01
8.446968267075691372e+00,-5.000673315231860538e-01
8.517359669301322711e+00,-5.000698347447573022e-01
8.587751071526952273e+00,-5.000724016614390699e-01
8.658142473752583612e+00,-5.000749790765434133e-01
8.728533875978213175e+00,-5.000775282149853007e-01
8.798925278203844513e+00,-5.000801861322139441e-01
8.869316680429475852e+00,-5.000830742455222300e-01
8.939708082655107191e+00,-5.000853068598228868e-01
9.010099484880736753e+00,-5.000885292352650335e-01
9.080490887106366316e+00,-5.000910256859879555e-01
9.150882289331997654e+00,-5.000940212123072826e-01
9.221273691557627217e+00,-5.000969687436053190e-01
9.291665093783260332e+00,-5.000997056940531538e-01
9.362056496008889894e+00,-5.001027754228050126e-01
9.432447898234521233e+00,-5.001052779333298171e-01
9.502839300460150795e+00,-5.001082729727061027e-01
9.573230702685782134e+00,-5.001113733448638854e-01
9.643622104911413473e+00,-5.001149054784364001e-01
9.714013507137044812e+00,-5.001174926269287280e-01
9.784404909362674374e+00,-5.001204245951530458e-01
9.854796311588305713e+00,-5.001238278841275697e-01
9.925187713813935275e+00,-5.001270164780809990e-01
9.995579116039566614e+00,-5.001304568391873318e-01
1.006597051826519795e+01,-5.001338479166893558e-01
1.013636192049082929e+01,-5.001366477023579948e-01
1.020675332271645885e+01,-5.001397807004726026e-01
1.027714472494209019e+01,-5.001436191186781066e-01
1.034753612716771975e+01,-5.001467981138723040e-01
1.041792752939335287e+01,-5.001504233487766848e-01
1.048831893161898243e+01,-5.001536907578916225e-01
1.055871033384461377e+01,-5.001572394681987888e-01
1.062910173607024333e+01,-5.001607335116640130e-01
1.069949313829587467e+01,-5.001642667614946136e-01
1.076988454052150423e+01,-5.001678146718662177e-01
1.084027594274713735e+01,-5.001712586598006105e-01
1.091066734497276691e+01,-5.001746218969504998e-01
1.098105874719839825e+01,-5.001779100330111527e-01
1.105145014942402781e+01,-5.001807692026694063e-01
1.112184155164965915e+01,-5.001833237273847210e-01
1.119223295387528871e+01,-5.001851620221215988e-01
1.126262435610092183e+01,-5.001869643141272359e-01
1.133301575832655139e+01,-5.001871302340510361e-01
1.140340716055218273e+01,-5.001875255915637641e-01
1.147379856277781229e+01,-5.001861009456490814e-01
1.154418996500344363e+01,-5.001846635013835751e-01
1.161458136722907497e+01,-5.001816477366399782e-01
1.168497276945470631e+01,-5.001781100684293824e-01
1.175536417168033587e+01,-5.001729135922716729e-01
1.182575557390596721e+01,-5.001678942508650527e-01
1.189614697613159677e+01,-5.001620955074836949e-01
1.196653837835722811e+01,-5.001551586178297759e-01
1.203692978058285945e+01,-5.001474033072190739e-01
1.210732118280849079e+01,-5.001369587171055064e-01
1.217771258503412035e+01,-5.001269381040620576e-01
1.224810398725975169e+01,-5.001131788269269629e-01
1.231849538948538125e+01,-5.000974204672742340e-01
1.238888679171101437e+01,-5.000784461323082297e-01
1.245927819393664393e+01,-5.000558630890735712e-01
1.252966959616227527e+01,-5.000296258831192775e-01
1.260006099838790483e+01,-5.000009119791368750e-01
1.267045240061353617e+01,-4.999695580529937011e-01
1.274084380283916573e+01,-4.999360236857944839e-01
1.281123520506479885e+01,-4.999018597133956243e-01
1.288162660729042841e+01,-4.998678697745203570e-01
1.295201800951605975e+01,-4.998353602602048640e-01
1.302240941174168931e+01,-4.998054300370445846e-01
1.309280081396732065e+01,-4.997787385024644591e-01
1.316319221619295199e+01,-4.997564641880989922e-01
1.323358361841858333e+01,-4.997391105415185386e-01
1.330397502064421289e+01,-4.997272746217452655e-01
1.337436642286984423e+01,-4.997208056143678800e-01
1.344475782509547379e+01,-4.997196201538030014e-01
1.351514922732110335e+01,-4.997232175692846723e-01
1.358554062954673647e+01,-4.997307919653106723e-01
1.365593203177236603e+01,-4.997408429354392445e-01
1.372632343399799737e+01,-4.997526599396489577e-01
1.379671483622362693e+01,-4.997641418087235832e-01
1.386710623844925827e+01,-4.997754713686495820e-01
1.393749764067488783e+01,-4.997843569161391497e-01
1.400788904290052095e+01,-4.997889488998440988e-01
1.407828044512615051e+01,-4.997900240221229140e-01
1.414867184735178185e+01,-4.997867508789766711e-01
1.421906324957741141e+01,-4.997792781317927369e-01
1.428945465180304275e+01,-4.997677934336046124e-01
1.435984605402867409e+01,-4.997534998180303556e-01
1.443023745625430543e+01,-4.997391021816422474e-01
1.450062885847993499e+01,-4.997262131275903574e-01
1.457102026070556633e+01,-4.997164259520683327e-01
1.464141166293119589e+01,-4.997122305352904581e-01
1.471180306515682723e+01,-4.997134532162137432e-01
1.478219446738245857e+01,-4.997199837017247681e-01
1.485258586960808991e+01,-4.997297632137742696e-01
1.492297727183371947e+01,-4.997423133068914503e-01
1.499336867405935081e+01,-4.997548392229967384e-01
1.506376007628498037e+01,-4.997665862214512589e-01
1.513415147851061349e+01,-4.997763560998805810e-01
1.520454288073624305e+01,-4.997834786126550966e-01
1.527493428296187439e+01,-4.997867992144200411e-01
1.534532568518750395e+01,-4.997866713612820200e-01
1.541571708741313529e+01,-4.997828511699941023e-01
1.548610848963876485e+01,-4.997755514507724039e-01
1.555649989186439797e+01,-4.997653983015980517e-01
1.562689129409002753e+01,-4.997528504332717225e-01
1.569728269631565887e+01,-4.997386623889622514e-01
1.576767409854128843e+01,-4.997236011771727937e-01
1.583806550076691977e+01,-4.997087958812643782e-01
1.590845690299255111e+01,-4.996947395150082571e-01
1.597884830521818245e+01,-4.996817148393403740e-01
1.604923970744381023e+01,-4.996710515066983271e-01
1.611963110966944512e+01,-4.996624620571071818e-01
1.619002251189507291e+01,-4.996555633786978756e-01
1.626041391412070425e+01,-4.996499929273046647e-01
1.633080531634633559e+01,-4.996438226790173576e-01
1.640119671857196693e+01,-4.996385433061675818e-01
1.647158812079759471e+01,-4.996327505204921082e-01
1.654197952302322960e+01,-4.996296462684322592e-01
1.661237092524885739e+01,-4.996300525984733176e-01
1.668276232747448873e+01,-4.996379975657965766e-01
1.675315372970012007e+01,-4.996525947052424255e-01
1.682354513192575141e+01,-4.996696125366871244e-01
1.689393653415138274e+01,-4.996844214665724371e-01
1.696432793637701408e+01,-4.996905380009596942e-01
1.703471933860264542e+01,-4.996825896589535132e-01
1.710511074082827321e+01,-4.996588355635556145e-01
1.717550214305390455e+01,-4.996172475037762295e-01
1.724589354527953589e+01,-4.995626568228594966e-01
1.731628494750516722e+01,-4.994973373383062021e-01
1.738667634973079501e+01,-4.994251697334532447e-01
1.745706775195642635e+01,-4.993498006384612942e-01
1.752745915418205769e+01,-4.992746372403952249e-01
1.759785055640768903e+01,-4.992024719849122993e-01
1.766824195863331681e+01,-4.991353585079328359e-01
1.773863336085895170e+01,-4.990746681159999865e-01
1.780902476308458304e+01,-4.990211369728438373e-01
1.787941616531021438e+01,-4.989751404740438434e-01
1.794980756753584217e+01,-4.989364192300276279e-01
1.802019896976147351e+01,-4.989040919673395913e-01
1.809059037198710485e+01,-4.988766739158105312e-01
1.816098177421273263e+01,-4.988525892477715939e-01
1.823137317643836397e+01,-4.988304154899729226e-01
1.830176457866399531e+01,-4.988085810284667021e-01
1.837215598088962665e+01,-4.987870038448312116e-01
1.844254738311525443e+01,-4.987656160581037113e-01
1.851293878534088932e+01,-4.987479968119868379e-01
1.858333018756652066e+01,-4.987367999985858891e-01
1.865372158979215200e+01,-4.987357318758606772e-01
1.872411299201777979e+01,-4.987488828363312310e-01
1.879450439424341113e+01,-4.987761321998501751e-01
1.886489579646904247e+01,-4.988145749667443063e-01
1.893528719869467380e+01,-4.988600197167175065e-01
1.900567860092030159e+01,-4.989064812006728244e-01
1.907607000314593293e+01,-4.989482831468612933e-01
1.914646140537156427e+01,-4.989863330144048703e-01
1.921685280759719561e+01,-4.990216400640377081e-01
1.928724420982282695e+01,-4.990587383246763431e-01
1.935763561204845828e+01,-4.990958756268917829e-01
1.942802701427408962e+01,-4.991288295428788491e-01
1.949841841649972096e+01,-4.991462772006218795e-01
1.956880981872534875e+01,-4.991310244477914493e-01
1.963920122095098009e+01,-4.990668468099335731e-01
1.970959262317661143e+01,-4.989377965032585349e-01
1.977998402540224276e+01,-4.987310920405563786e-01
1.985037542762787055e+01,-4.984366288340209006e-01
1.992076682985350189e+01,-4.980490104656242756e-01
